ID,Species,Years,Decade,Detections,Mean occupancy,SD,SD breadth
1,Camponotus herculeanus,1900-1909,1,0,0.04445783,0.04210212,0.08420424
2,Formica cinerea,1900-1909,1,1,0.1902868,0.06498251,0.12996502
3,Formica cunicularia,1900-1909,1,0,0.0602403,0.06025178,0.12050356
4,Formica exsecta,1900-1909,1,1,0.3158587,0.1124449,0.2248898
5,Formica fusca,1900-1909,1,4,0.9207744,0.08405621,0.16811242
6,Formica picea,1900-1909,1,0,0.2507074,0.1416026,0.2832052
7,Formica polyctena,1900-1909,1,0,0.2942618,0.2916324,0.5832648
8,Formica pratensis,1900-1909,1,1,0.255692,0.08031452,0.16062904
9,Formica pressilabris,1900-1909,1,0,0.2426903,0.1059451,0.2118902
10,Formica rufa,1900-1909,1,2,0.6650115,0.1746559,0.3493118
11,Formica rufibarbis,1900-1909,1,1,0.474239,0.1617743,0.3235486
12,Formica sanguinea,1900-1909,1,0,0.1965543,0.1533637,0.3067274
13,Formica truncorum,1900-1909,1,0,0.1966219,0.0979249,0.1958498
14,Formica uralensis,1900-1909,1,0,0.05471655,0.07537117,0.15074234
15,Formicoxenus nitidulus,1900-1909,1,0,0.1957825,0.1328347,0.2656694
16,Lasius flavus,1900-1909,1,8,0.9335455,0.09524029,0.19048058
17,Lasius fuliginosus,1900-1909,1,1,0.6813644,0.181648,0.363296
18,Lasius meridionalis,1900-1909,1,0,0.2475316,0.1794436,0.3588872
19,Lasius niger,1900-1909,1,5,0.8968169,0.1368835,0.273767
20,Lasius umbratus,1900-1909,1,4,0.4887283,0.2039185,0.407837
21,Leptothorax acervorum,1900-1909,1,0,0.4210133,0.4368431,0.8736862
22,Myrmica lobicornis,1900-1909,1,0,0.5188678,0.344575,0.68915
23,Myrmica rubra,1900-1909,1,4,0.86325,0.1106342,0.2212684
24,Myrmica ruginodis,1900-1909,1,3,0.8360636,0.1210086,0.2420172
25,Myrmica rugulosa,1900-1909,1,0,0.4019972,0.1704628,0.3409256
26,Myrmica sabuleti,1900-1909,1,0,0.4557206,0.3241217,0.6482434
27,Myrmica scabrinodis,1900-1909,1,9,0.7463079,0.1343304,0.2686608
28,Myrmica schencki,1900-1909,1,0,0.3020126,0.1632791,0.3265582
29,Tetramorium caespitum,1900-1909,1,1,0.6157834,0.2179907,0.4359814
1,Camponotus herculeanus,1910-1919,2,1,0.04546618,0.03557035,0.0711407
2,Formica cinerea,1910-1919,2,0,0.1778892,0.0530693,0.1061386
3,Formica cunicularia,1910-1919,2,0,0.05792851,0.05542592,0.11085184
4,Formica exsecta,1910-1919,2,0,0.3065555,0.1167835,0.233567
5,Formica fusca,1910-1919,2,5,0.9319023,0.05839538,0.11679076
6,Formica picea,1910-1919,2,0,0.251649,0.1353412,0.2706824
7,Formica polyctena,1910-1919,2,2,0.4573445,0.2594554,0.5189108
8,Formica pratensis,1910-1919,2,4,0.2611576,0.07753491,0.15506982
9,Formica pressilabris,1910-1919,2,0,0.2415435,0.1025136,0.2050272
10,Formica rufa,1910-1919,2,4,0.6860119,0.1496858,0.2993716
11,Formica rufibarbis,1910-1919,2,1,0.4794183,0.1496809,0.2993618
12,Formica sanguinea,1910-1919,2,0,0.202652,0.1492501,0.2985002
13,Formica truncorum,1910-1919,2,1,0.1989502,0.08895549,0.17791098
14,Formica uralensis,1910-1919,2,0,0.04860378,0.06498479,0.12996958
15,Formicoxenus nitidulus,1910-1919,2,1,0.1970725,0.1196974,0.2393948
16,Lasius flavus,1910-1919,2,0,0.9236553,0.1210401,0.2420802
17,Lasius fuliginosus,1910-1919,2,3,0.7039186,0.1594621,0.3189242
18,Lasius meridionalis,1910-1919,2,0,0.2444634,0.1709855,0.341971
19,Lasius niger,1910-1919,2,4,0.8881844,0.1471168,0.2942336
20,Lasius umbratus,1910-1919,2,2,0.4730451,0.1836,0.3672
21,Leptothorax acervorum,1910-1919,2,0,0.4348138,0.4277108,0.8554216
22,Myrmica lobicornis,1910-1919,2,0,0.526852,0.3373264,0.6746528
23,Myrmica rubra,1910-1919,2,6,0.8642988,0.1008134,0.2016268
24,Myrmica ruginodis,1910-1919,2,7,0.8469484,0.1023434,0.2046868
25,Myrmica rugulosa,1910-1919,2,6,0.4550412,0.1497397,0.2994794
26,Myrmica sabuleti,1910-1919,2,1,0.5107287,0.2820402,0.5640804
27,Myrmica scabrinodis,1910-1919,2,4,0.7308009,0.1316653,0.2633306
28,Myrmica schencki,1910-1919,2,0,0.3018319,0.1532577,0.3065154
29,Tetramorium caespitum,1910-1919,2,3,0.6640387,0.1732498,0.3464996
1,Camponotus herculeanus,1920-1929,3,0,0.04540491,0.03383543,0.06767086
2,Formica cinerea,1920-1929,3,2,0.1723048,0.04446966,0.08893932
3,Formica cunicularia,1920-1929,3,0,0.05664072,0.0533763,0.1067526
4,Formica exsecta,1920-1929,3,0,0.3086888,0.1113344,0.2226688
5,Formica fusca,1920-1929,3,7,0.9335295,0.05351586,0.10703172
6,Formica picea,1920-1929,3,0,0.2602896,0.1254228,0.2508456
7,Formica polyctena,1920-1929,3,1,0.4638419,0.26263,0.52526
8,Formica pratensis,1920-1929,3,0,0.2505158,0.07142536,0.14285072
9,Formica pressilabris,1920-1929,3,0,0.2454376,0.09809153,0.19618306
10,Formica rufa,1920-1929,3,5,0.7294492,0.1168634,0.2337268
11,Formica rufibarbis,1920-1929,3,0,0.507541,0.1426969,0.2853938
12,Formica sanguinea,1920-1929,3,0,0.2453681,0.1364013,0.2728026
13,Formica truncorum,1920-1929,3,0,0.2027481,0.08121164,0.16242328
14,Formica uralensis,1920-1929,3,0,0.04500941,0.05574685,0.1114937
15,Formicoxenus nitidulus,1920-1929,3,0,0.191756,0.1078489,0.2156978
16,Lasius flavus,1920-1929,3,3,0.926719,0.1086208,0.2172416
17,Lasius fuliginosus,1920-1929,3,10,0.7139387,0.1470516,0.2941032
18,Lasius meridionalis,1920-1929,3,0,0.2565866,0.1624074,0.3248148
19,Lasius niger,1920-1929,3,7,0.8996876,0.1279471,0.2558942
20,Lasius umbratus,1920-1929,3,4,0.4361915,0.157759,0.315518
21,Leptothorax acervorum,1920-1929,3,1,0.5940614,0.3616051,0.7232102
22,Myrmica lobicornis,1920-1929,3,0,0.5548752,0.3185757,0.6371514
23,Myrmica rubra,1920-1929,3,12,0.8689967,0.09237542,0.18475084
24,Myrmica ruginodis,1920-1929,3,11,0.8476111,0.09549462,0.19098924
25,Myrmica rugulosa,1920-1929,3,1,0.3968728,0.1334424,0.2668848
26,Myrmica sabuleti,1920-1929,3,1,0.515894,0.2708974,0.5417948
27,Myrmica scabrinodis,1920-1929,3,3,0.721181,0.1306367,0.2612734
28,Myrmica schencki,1920-1929,3,0,0.3093501,0.1326994,0.2653988
29,Tetramorium caespitum,1920-1929,3,4,0.6924112,0.152867,0.305734
1,Camponotus herculeanus,1930-1939,4,3,0.0474588,0.02979244,0.05958488
2,Formica cinerea,1930-1939,4,7,0.1638218,0.03472138,0.06944276
3,Formica cunicularia,1930-1939,4,0,0.0553301,0.05075163,0.10150326
4,Formica exsecta,1930-1939,4,10,0.3248393,0.09079037,0.18158074
5,Formica fusca,1930-1939,4,29,0.9368874,0.04685391,0.09370782
6,Formica picea,1930-1939,4,5,0.2858493,0.1031699,0.2063398
7,Formica polyctena,1930-1939,4,17,0.6731312,0.1775947,0.3551894
8,Formica pratensis,1930-1939,4,2,0.2469405,0.06217265,0.1243453
9,Formica pressilabris,1930-1939,4,1,0.2523331,0.08607084,0.17214168
10,Formica rufa,1930-1939,4,14,0.7301903,0.1102279,0.2204558
11,Formica rufibarbis,1930-1939,4,17,0.5832921,0.1027019,0.2054038
12,Formica sanguinea,1930-1939,4,13,0.3636072,0.08314603,0.16629206
13,Formica truncorum,1930-1939,4,2,0.2185362,0.07683554,0.15367108
14,Formica uralensis,1930-1939,4,2,0.04502265,0.04819785,0.0963957
15,Formicoxenus nitidulus,1930-1939,4,2,0.1986356,0.1020844,0.2041688
16,Lasius flavus,1930-1939,4,15,0.9299329,0.0996322,0.1992644
17,Lasius fuliginosus,1930-1939,4,13,0.6821812,0.1407469,0.2814938
18,Lasius meridionalis,1930-1939,4,1,0.2953321,0.1415426,0.2830852
19,Lasius niger,1930-1939,4,44,0.9180278,0.09680605,0.1936121
20,Lasius umbratus,1930-1939,4,9,0.3840656,0.1265448,0.2530896
21,Leptothorax acervorum,1930-1939,4,10,0.8011066,0.22063,0.44126
22,Myrmica lobicornis,1930-1939,4,3,0.6274099,0.2680555,0.536111
23,Myrmica rubra,1930-1939,4,40,0.854917,0.08967883,0.17935766
24,Myrmica ruginodis,1930-1939,4,19,0.8180338,0.1156012,0.2312024
25,Myrmica rugulosa,1930-1939,4,7,0.3878147,0.1122583,0.2245166
26,Myrmica sabuleti,1930-1939,4,3,0.5458907,0.2511505,0.502301
