ID,Species,Trend,TP,Occupancy
1,Camponotus herculeanus,Increasing,1900-1909,0.04445783
2,Formica cinerea,Stable,1900-1909,0.1902868
3,Formica cunicularia,Stable,1900-1909,0.0602403
4,Formica exsecta,Stable,1900-1909,0.3158587
5,Formica fusca,Stable,1900-1909,0.9207744
6,Formica picea,Increasing,1900-1909,0.2507074
7,Formica polyctena,Fluctuating,1900-1909,0.2942618
8,Formica pratensis,Stable,1900-1909,0.255692
9,Formica pressilabris,Stable,1900-1909,0.2426903
10,Formica rufa,Increasing,1900-1909,0.6650115
11,Formica rufibarbis,Fluctuating,1900-1909,0.474239
12,Formica sanguinea,Fluctuating,1900-1909,0.1965543
13,Formica truncorum,Stable,1900-1909,0.1966219
14,Formica uralensis,Fluctuating,1900-1909,0.05471655
15,Formicoxenus nitidulus,Stable,1900-1909,0.1957825
16,Lasius flavus,Stable,1900-1909,0.9335455
17,Lasius fuliginosus,Declining,1900-1909,0.6813644
18,Lasius meridionalis,Stable,1900-1909,0.2475316
19,Lasius niger,Stable,1900-1909,0.8968169
20,Lasius umbratus,Fluctuating,1900-1909,0.4887283
21,Leptothorax acervorum,Stable,1900-1909,0.4210133
22,Myrmica lobicornis,Stable,1900-1909,0.5188678
23,Myrmica rubra,Declining,1900-1909,0.86325
24,Myrmica ruginodis,Increasing,1900-1909,0.8360636
25,Myrmica rugulosa,Stable,1900-1909,0.4019972
26,Myrmica sabuleti,Declining,1900-1909,0.4557206
27,Myrmica scabrinodis,Stable,1900-1909,0.7463079
28,Myrmica schencki,Declining,1900-1909,0.3020126
29,Tetramorium caespitum,Fluctuating,1900-1909,0.6157834
1,Camponotus herculeanus,Increasing,1910-1919,0.04546618
2,Formica cinerea,Stable,1910-1919,0.1778892
3,Formica cunicularia,Stable,1910-1919,0.05792851
4,Formica exsecta,Stable,1910-1919,0.3065555
5,Formica fusca,Stable,1910-1919,0.9319023
6,Formica picea,Increasing,1910-1919,0.251649
7,Formica polyctena,Fluctuating,1910-1919,0.4573445
8,Formica pratensis,Stable,1910-1919,0.2611576
9,Formica pressilabris,Stable,1910-1919,0.2415435
10,Formica rufa,Increasing,1910-1919,0.6860119
11,Formica rufibarbis,Fluctuating,1910-1919,0.4794183
12,Formica sanguinea,Fluctuating,1910-1919,0.202652
13,Formica truncorum,Stable,1910-1919,0.1989502
14,Formica uralensis,Fluctuating,1910-1919,0.04860378
15,Formicoxenus nitidulus,Stable,1910-1919,0.1970725
16,Lasius flavus,Stable,1910-1919,0.9236553
17,Lasius fuliginosus,Declining,1910-1919,0.7039186
18,Lasius meridionalis,Stable,1910-1919,0.2444634
19,Lasius niger,Stable,1910-1919,0.8881844
20,Lasius umbratus,Fluctuating,1910-1919,0.4730451
21,Leptothorax acervorum,Stable,1910-1919,0.4348138
22,Myrmica lobicornis,Stable,1910-1919,0.526852
23,Myrmica rubra,Declining,1910-1919,0.8642988
24,Myrmica ruginodis,Increasing,1910-1919,0.8469484
25,Myrmica rugulosa,Stable,1910-1919,0.4550412
26,Myrmica sabuleti,Declining,1910-1919,0.5107287
27,Myrmica scabrinodis,Stable,1910-1919,0.7308009
28,Myrmica schencki,Declining,1910-1919,0.3018319
29,Tetramorium caespitum,Fluctuating,1910-1919,0.6640387
1,Camponotus herculeanus,Increasing,1920-1929,0.04540491
2,Formica cinerea,Stable,1920-1929,0.1723048
3,Formica cunicularia,Stable,1920-1929,0.05664072
4,Formica exsecta,Stable,1920-1929,0.3086888
5,Formica fusca,Stable,1920-1929,0.9335295
6,Formica picea,Increasing,1920-1929,0.2602896
7,Formica polyctena,Fluctuating,1920-1929,0.4638419
8,Formica pratensis,Stable,1920-1929,0.2505158
9,Formica pressilabris,Stable,1920-1929,0.2454376
10,Formica rufa,Increasing,1920-1929,0.7294492
11,Formica rufibarbis,Fluctuating,1920-1929,0.507541
12,Formica sanguinea,Fluctuating,1920-1929,0.2453681
13,Formica truncorum,Stable,1920-1929,0.2027481
14,Formica uralensis,Fluctuating,1920-1929,0.04500941
15,Formicoxenus nitidulus,Stable,1920-1929,0.191756
16,Lasius flavus,Stable,1920-1929,0.926719
17,Lasius fuliginosus,Declining,1920-1929,0.7139387
18,Lasius meridionalis,Stable,1920-1929,0.2565866
19,Lasius niger,Stable,1920-1929,0.8996876
20,Lasius umbratus,Fluctuating,1920-1929,0.4361915
21,Leptothorax acervorum,Stable,1920-1929,0.5940614
22,Myrmica lobicornis,Stable,1920-1929,0.5548752
23,Myrmica rubra,Declining,1920-1929,0.8689967
24,Myrmica ruginodis,Increasing,1920-1929,0.8476111
25,Myrmica rugulosa,Stable,1920-1929,0.3968728
26,Myrmica sabuleti,Declining,1920-1929,0.515894
27,Myrmica scabrinodis,Stable,1920-1929,0.721181
28,Myrmica schencki,Declining,1920-1929,0.3093501
29,Tetramorium caespitum,Fluctuating,1920-1929,0.6924112
1,Camponotus herculeanus,Increasing,1930-1939,0.0474588
2,Formica cinerea,Stable,1930-1939,0.1638218
3,Formica cunicularia,Stable,1930-1939,0.0553301
4,Formica exsecta,Stable,1930-1939,0.3248393
5,Formica fusca,Stable,1930-1939,0.9368874
6,Formica picea,Increasing,1930-1939,0.2858493
7,Formica polyctena,Fluctuating,1930-1939,0.6731312
8,Formica pratensis,Stable,1930-1939,0.2469405
9,Formica pressilabris,Stable,1930-1939,0.2523331
10,Formica rufa,Increasing,1930-1939,0.7301903
11,Formica rufibarbis,Fluctuating,1930-1939,0.5832921
12,Formica sanguinea,Fluctuating,1930-1939,0.3636072
13,Formica truncorum,Stable,1930-1939,0.2185362
14,Formica uralensis,Fluctuating,1930-1939,0.04502265
15,Formicoxenus nitidulus,Stable,1930-1939,0.1986356
16,Lasius flavus,Stable,1930-1939,0.9299329
17,Lasius fuliginosus,Declining,1930-1939,0.6821812
18,Lasius meridionalis,Stable,1930-1939,0.2953321
19,Lasius niger,Stable,1930-1939,0.9180278
20,Lasius umbratus,Fluctuating,1930-1939,0.3840656
21,Leptothorax acervorum,Stable,1930-1939,0.8011066
22,Myrmica lobicornis,Stable,1930-1939,0.6274099
23,Myrmica rubra,Declining,1930-1939,0.854917
24,Myrmica ruginodis,Increasing,1930-1939,0.8180338
25,Myrmica rugulosa,Stable,1930-1939,0.3878147
26,Myrmica sabuleti,Declining,1930-1939,0.5458907
27,Myrmica scabrinodis,Stable,1930-1939,0.7120541
28,Myrmica schencki,Declining,1930-1939,0.33917
29,Tetramorium caespitum,Fluctuating,1930-1939,0.6948771
1,Camponotus herculeanus,Increasing,1940-1949,0.07798692
2,Formica cinerea,Stable,1940-1949,0.1621997
3,Formica cunicularia,Stable,1940-1949,0.05416808
4,Formica exsecta,Stable,1940-1949,0.3270268
5,Formica fusca,Stable,1940-1949,0.934424
6,Formica picea,Increasing,1940-1949,0.295681
7,Formica polyctena,Fluctuating,1940-1949,0.7498059
8,Formica pratensis,Stable,1940-1949,0.2437605
9,Formica pressilabris,Stable,1940-1949,0.2704987
10,Formica rufa,Increasing,1940-1949,0.744434
11,Formica rufibarbis,Fluctuating,1940-1949,0.5777355
12,Formica sanguinea,Fluctuating,1940-1949,0.4199767
13,Formica truncorum,Stable,1940-1949,0.2070553
14,Formica uralensis,Fluctuating,1940-1949,0.056069
15,Formicoxenus nitidulus,Stable,1940-1949,0.2024833
16,Lasius flavus,Stable,1940-1949,0.9274942
17,Lasius fuliginosus,Declining,1940-1949,0.6352386
18,Lasius meridionalis,Stable,1940-1949,0.3822706
19,Lasius niger,Stable,1940-1949,0.9375241
20,Lasius umbratus,Fluctuating,1940-1949,0.3348273
21,Leptothorax acervorum,Stable,1940-1949,0.8190781
22,Myrmica lobicornis,Stable,1940-1949,0.6950299
23,Myrmica rubra,Declining,1940-1949,0.8679398
24,Myrmica ruginodis,Increasing,1940-1949,0.8313096
25,Myrmica rugulosa,Stable,1940-1949,0.3909956
26,Myrmica sabuleti,Declining,1940-1949,0.6971396
