origin,tp_year,tp_10,year,month,day,date,decimalLat,decimalLon,GPS,taxa,UTM_ZONE_C,site_10,count
NHM Aarhus,1900-1909,1,1900,7,21,21/07/1900,56.010843,12.445427,"56.010843, 12.445427",Lasius_umbratus,UC41,248,1
NHM Aarhus,1900-1909,1,1901,6,23,23/06/1901,55.805758,12.483211,"55.805758, 12.483211",Formica_fusca,UB48,328,1
NHM Aarhus,1900-1909,1,1901,9,26,26/09/1901,55.643539,12.516986,"55.643539, 12.516986",Myrmica_scabrinodis,UB46,384,1
NHM Aarhus,1900-1909,1,1902,9,21,21/09/1902,55.650239,12.577788,"55.650239, 12.577788",Myrmica_rubra,UB46,384,1
NHM Denmark,1900-1909,1,1903,7,11,11/07/1903,55.032618,11.924762,"55.032618, 11.924762",Myrmica_scabrinodis,PG80,541,1
NHM Denmark,1900-1909,1,1903,7,11,11/07/1903,55.032618,11.924762,"55.032618, 11.924762",Tetramorium_caespitum,PG80,541,1
NHM Aarhus,1900-1909,1,1903,8,9,09/08/1903,55.690313,12.016678,"55.690313, 12.016678",Myrmica_scabrinodis,UB17,352,1
NHM Aarhus,1900-1909,1,1903,8,23,23/08/1903,55.885883,12.38485,"55.885883, 12.38485",Lasius_flavus,UB39,300,1
NHM Aarhus,1900-1909,1,1903,8,23,23/08/1903,55.885883,12.38485,"55.885883, 12.38485",Lasius_flavus,UB39,300,1
NHM Aarhus,1900-1909,1,1903,8,23,23/08/1903,55.885883,12.38485,"55.885883, 12.38485",Lasius_niger,UB39,300,1
NHM Denmark,1900-1909,1,1904,7,30,30/07/1904,56.234248,9.444185,"56.234248, 9.444185",Myrmica_ruginodis,NH23,198,1
NHM Denmark,1900-1909,1,1904,7,30,30/07/1904,56.234248,9.444185,"56.234248, 9.444185",Myrmica_ruginodis,NH23,198,1
NHM Denmark,1900-1909,1,1904,7,30,30/07/1904,56.234248,9.444185,"56.234248, 9.444185",Myrmica_ruginodis,NH23,198,1
