origin,detections,visit,Year,tp_year
NHM Aarhus,1,"2481900-07-2156.010843, 12.445427",1900,1900-1909
NHM Aarhus,1,"3281901-06-2355.805758, 12.483211",1901,1900-1909
NHM Aarhus,1,"3841901-09-2655.643539, 12.516986",1901,1900-1909
NHM Aarhus,1,"3841902-09-2155.650239, 12.577788",1902,1900-1909
NHM Aarhus,2,"3001903-08-2355.885883, 12.38485",1903,1900-1909
NHM Aarhus,1,"3521903-08-0955.690313, 12.016678",1903,1900-1909
NHM Denmark,2,"5411903-07-1155.032618, 11.924762",1903,1900-1909
NHM Denmark,1,"1981904-07-3056.234248, 9.444185",1904,1900-1909
NHM Denmark,2,"5411905-07-1155.032618, 11.924762",1905,1900-1909
NHM Aarhus,1,"3841906-09-0355.643539, 12.516986",1906,1900-1909
NHM Aarhus,1,"3841906-09-2655.643539, 12.516986",1906,1900-1909
NHM Aarhus,1,"3841906-10-1355.643539, 12.516986",1906,1900-1909
NHM Denmark,1,"2181906-08-2756.147142, 9.516375",1906,1900-1909
NHM Aarhus,1,"2481907-07-2956.010843, 12.445427",1907,1900-1909
NHM Aarhus,1,"2741907-06-3055.951168, 12.333918",1907,1900-1909
NHM Aarhus,1,"3281907-09-0855.770929, 12.542932",1907,1900-1909
NHM Aarhus,1,"3281907-09-2955.770929, 12.542932",1907,1900-1909
NHM Aarhus,1,"3551907-09-2855.675814, 12.477178",1907,1900-1909
NHM Aarhus,1,"2481908-08-0156.010843, 12.445427",1908,1900-1909
NHM Aarhus,1,"3551908-10-0255.675814, 12.477178",1908,1900-1909
NHM Aarhus,2,"3561908-10-0555.683264, 12.618601",1908,1900-1909
NHM Aarhus,1,"3841908-08-2455.650239, 12.577788",1908,1900-1909
NHM Denmark,1,"2451908-05-1756.033807, 12.054928",1908,1900-1909
NHM Denmark,1,"2451908-07-1956.060354, 12.090172",1908,1900-1909
NHM Denmark,1,"3271908-06-1455.769218, 12.398196",1908,1900-1909
NHM Denmark,1,"3271908-06-1955.769218, 12.398196",1908,1900-1909
NHM Denmark,1,"3281908-05-1055.786534, 12.569818",1908,1900-1909
NHM Denmark,1,"3281908-05-1155.786534, 12.569818",1908,1900-1909
NHM Denmark,1,"3281908-05-1555.763121, 12.579463",1908,1900-1909
NHM Denmark,1,"3281908-05-1555.76975, 12.56234",1908,1900-1909
NHM Denmark,3,"3541908-04-1655.669158, 12.402135",1908,1900-1909
NHM Denmark,1,"3551908-04-1255.675814, 12.477178",1908,1900-1909
NHM Denmark,1,"3551908-06-1355.675814, 12.477178",1908,1900-1909
NHM Denmark,1,"3551908-07-2955.657753, 12.530098",1908,1900-1909
NHM Aarhus,1,"2481909-08-0456.010843, 12.445427",1909,1900-1909
NHM Denmark,1,"2451909-08-3156.060354, 12.090172",1909,1900-1909
NHM Denmark,1,"3271909-08-2155.798406, 12.416576",1909,1900-1909
NHM Denmark,1,"5731909-04-0554.984062, 12.543113",1909,1900-1909
NHM Denmark,2,"5731909-04-0854.984062, 12.543113",1909,1900-1909
NHM Denmark,1,"2741910-05-1455.998779, 12.311957",1910,1910-1919
NHM Denmark,1,"3281910-03-2555.805758, 12.483211",1910,1910-1919
NHM Aarhus,1,"2481911-07-2356.010843, 12.445427",1911,1910-1919
NHM Aarhus,1,"2741911-07-1355.951168, 12.333918",1911,1910-1919
NHM Aarhus,1,"3281911-09-2155.805758, 12.483211",1911,1910-1919
NHM Denmark,1,"2451911-06-2456.060354, 12.090172",1911,1910-1919
NHM Aarhus,1,"3551912-09-2155.717418, 12.506722",1912,1910-1919
NHM Aarhus,2,"3841912-09-2855.643539, 12.516986",1912,1910-1919
NHM Denmark,1,"2741912-05-2255.998779, 12.311957",1912,1910-1919
NHM Denmark,1,"2741912-06-0955.998779, 12.311957",1912,1910-1919
NHM Aarhus,1,"2481913-08-0256.010843, 12.445427",1913,1910-1919
NHM Aarhus,2,"3841913-08-2455.650239, 12.577788",1913,1910-1919
NHM Denmark,2,"2171913-05-2556.149342, 9.475775",1913,1910-1919
NHM Denmark,1,"2391913-06-0556.07407, 9.697859",1913,1910-1919
NHM Denmark,1,"2451913-05-0356.060354, 12.090172",1913,1910-1919
NHM Denmark,1,"2451913-05-2156.060354, 12.090172",1913,1910-1919
NHM Denmark,1,"2451913-05-3056.060354, 12.090172",1913,1910-1919
NHM Denmark,1,"2451913-06-0156.033807, 12.054928",1913,1910-1919
NHM Denmark,1,"2741913-09-0155.927915, 12.300838",1913,1910-1919
NHM Denmark,1,"3011913-12-0155.84905, 12.482107",1913,1910-1919
NHM Aarhus,2,"3281914-09-1655.805758, 12.483211",1914,1910-1919
NHM Denmark,1,"2171914-06-1556.149342, 9.475775",1914,1910-1919
NHM Denmark,1,"2181914-05-0356.176398, 9.554921",1914,1910-1919
NHM Denmark,1,"2181914-06-0356.176398, 9.554921",1914,1910-1919
NHM Aarhus,1,"2471915-07-1056.043693, 12.41256",1915,1910-1919
NHM Aarhus,1,"2481915-08-0356.010843, 12.445427",1915,1910-1919
NHM Aarhus,1,"2481915-08-0756.010843, 12.445427",1915,1910-1919
NHM Aarhus,2,"2481915-08-1456.010843, 12.445427",1915,1910-1919
NHM Aarhus,1,"3011915-08-2955.84905, 12.482107",1915,1910-1919
NHM Aarhus,1,"3481915-08-0355.663865, 11.399436",1915,1910-1919
NHM Aarhus,1,"2471916-07-2556.043693, 12.41256",1916,1910-1919
NHM Aarhus,1,"3001916-07-1555.868457, 12.342991",1916,1910-1919
NHM Aarhus,1,"3551916-09-1055.663895, 12.54254",1916,1910-1919
NHM Denmark,1,"2741916-08-1455.998779, 12.311957",1916,1910-1919
NHM Aarhus,2,"2471917-08-0356.043693, 12.41256",1917,1910-1919
NHM Aarhus,2,"3481917-07-2455.663865, 11.399436",1917,1910-1919
NHM Aarhus,2,"3481917-07-2655.663865, 11.399436",1917,1910-1919
NHM Aarhus,2,"3841917-09-2655.643539, 12.516986",1917,1910-1919
NHM Denmark,1,"2451918-05-2256.060354, 12.090172",1918,1910-1919
NHM Denmark,1,"2451918-06-1656.060354, 12.090172",1918,1910-1919
NHM Denmark,1,"2451918-06-1956.060354, 12.090172",1918,1910-1919
NHM Denmark,1,"2451918-06-2356.060354, 12.090172",1918,1910-1919
NHM Denmark,1,"1701919-07-2256.411795, 10.894899",1919,1910-1919
NHM Denmark,1,"2451919-08-0856.060354, 12.090172",1919,1910-1919
NHM Denmark,2,"2451919-08-1656.060354, 12.090172",1919,1910-1919
NHM Denmark,1,"2451919-08-1956.060354, 12.090172",1919,1910-1919
NHM Denmark,1,"1701920-08-0956.411795, 10.894899",1920,1920-1929
NHM Denmark,1,"2451920-06-1956.033807, 12.054928",1920,1920-1929
NHM Denmark,1,"2221921-08-2456.127874, 10.202704",1921,1920-1929
NHM Denmark,1,"2211922-05-2256.153129, 10.106808",1922,1920-1929
NHM Denmark,1,"4571923-09-1555.325779, 11.149397",1923,1920-1929
NHM Denmark,1,"4571923-10-0555.325779, 11.149397",1923,1920-1929
NHM Denmark,1,"4831923-10-0255.285579, 11.347932",1923,1920-1929
NHM Denmark,1,"4841923-11-1155.214656, 11.463521",1923,1920-1929
NHM Denmark,2,"2391924-06-0556.04911, 9.665256",1924,1920-1929
